Region,Main city,Region Lemmatized,Region Abb,Region Suffix,Additional,Region Lemmatized Name,index
Черкасская область,Черкассы,черкасский область,черк обл,,,черкасский,0
Черниговская область,Чернигов,черниговский область,черниг обл,черниговщина,,черниговский,1
Черновицкая область,Черновцы,черновицкий область,чернов обл,,,черновицкий,2
Днепропетровская область,Днепр,днепропетровский область,днепр обл,днепропетровщина,,днепропетровский,3
Донецкая область,Донецк,донецкий область,донец обл,,ДНР,донецкий,4
Харьковская область,Харьков,харьковский область,харьк обл,харьковщина,,харьковский,5
Херсонская область,Херсон,херсонский область,херсон обл,херсонщина,,херсонский,6
Хмельницкая область,Хмельницкий,хмельницкий область,хмел обл,хмельнитчина,,хмельницкий,7
Ивано-Франковская область,Ивано-Франковск,ивано-франковский область,ивано-франк обл,,,ивано-франковский,8
Кировоградская область,Кировоград,кировоградский область,кировог обл,кировоградщина,,кировоградский,9
Киевская область,Киев,киевский область,киев обл,киевщина,,киевский,10
Луганская область,Луганск,луганский область,луган обл,луганщина,ЛНР,луганский,11
Львовская область,Львов,львовский область,львов обл,львовщина,,львовский,12
Николаевская область,Николаев,николаевский область,никол обл,николаевщина,,николаевский,13
Одесская область,Одесса,одесский область,одес обл,,,одесский,14
Полтавская область,Полтава,полтавский область,полтав обл,полтавщина,,полтавский,15
Ровенская область,Ровно,ровенский область,ровн обл,ровенщина,,ровенский,16
Сумская область,Сумы,сумской область,сумс обл,сумщина,,сумской,17
Тернопольская область,Тернополь,тернопольский область,терноп обл,тернопольщина,,тернопольский,18
Винницкая область,Винница,винницкий область,винн обл,,,винницкий,19
Волынская область,Волынь,волынский область,волын обл,,,волынский,20
Закарпатская область,,закарпатский область,запор обл,,,закарпатский,21
Запорожская область,Запорожье,запорожский область,закарп обл,,,запорожский,22
Житомирская область,Житомир,житомирский область,житом обл,житомирщина,,житомирский,23
