Region,Main city,Region Lemmatized,Region Abb,Region Suffix,Region Lemmatized Name,index
Черкаська область,Черкаси,черкаський область,черк обл,черкащина,черкаський,0
Чернігівська область,Чернігів,чернігівський область,черніг обл,чернігівщина,чернігівський,1
Чернівецька область,Чернівці,чернівецький область,чернів обл,чернівеччина,чернівецький,2
Дніпропетровська область,Дніпро,дніпропетровськ область,дніпр обл,дніпропетровщина,дніпропетровськ,3
Донецька область,Донецьк,донецьк область,донец обл,донеччина,донецьк,4
Харківська область,Харків,харківський область,харків обл,харківщина,харківський,5
Херсонська область,Херсон,херсонський область,херсон обл,херсонщина,херсонський,6
Хмельницька область,Хмельницький,хмельницьк область,хмел обл,хмельниччина,хмельницьк,7
Івано-Франківська область,Івано-Франківськ,івано-франківськ область,івано-франк обл,івано-франківщина,івано-франківськ,8
Кіровоградська область,Кіровоград,кіровоградський область,кіровог обл,кіровоградщина,кіровоградський,9
Київська область,Київ,київський область,київ обл,київщина,київський,10
Луганська область,Луганськ,луганськ область,луган обл,луганщина,луганськ,11
Львівська область,Львів,львівський область,львів обл,львівщина,львівський,12
Миколаївська область,Миколаїв,миколаївський область,микол обл,миколаївщина,миколаївський,13
Одеська область,Одеса,одеський область,одес обл,одещина,одеський,14
Полтавська область,Полтава,полтавський область,полтав обл,полтавщина,полтавський,15
Рівненська область,Рівне,рівненський область,рівн обл,рівненщина,рівненський,16
Сумська область,Суми,сумський область,сумс обл,сумщина,сумський,17
Тернопільська область,Тернопіль,тернопільський область,терноп обл,тернопільщина,тернопільський,18
Вінницька область,Вінниця,вінницький область,вінн обл,вінниччина,вінницький,19
Волинська область,Волинь,волинська область,волин обл,волинщина,волинська,20
Закарпатська область,,закарпатський область,закарп обл,закарпаччина,закарпатський,21
Запорізька область,Запоріжжя,запорізький область,запор обл,запоріжчина,запорізький,22
Житомирська область,Житомир,житомирський область,житом обл,житомирщина,житомирський,23
