,Region,Region Lemmatized,Region Abb,Region Suffix,Region Lemmatized Name
0,Черкаська область,черкаський область,черк обл,черкащина,черкаський
1,Чернігівська область,чернігівський область,черніг обл,чернігівщина,чернігівський
2,Чернівецька область,чернівецький область,чернів обл,чернівеччина,чернівецький
3,Дніпропетровська область,дніпропетровськ область,дніпр обл,дніпропетровщина,дніпропетровськ
4,Донецька область,донецьк область,донец обл,донеччина,донецьк
5,Харківська область,харківський область,харків обл,харківщина,харківський
6,Херсонська область,херсонський область,херсон обл,херсонщина,херсонський
7,Хмельницька область,хмельницьк область,хмел обл,хмельниччина,хмельницьк
8,Івано-Франківська область,івано-франківськ область,івано-франк обл,івано-франківщина,івано-франківськ
9,Кіровоградська область,кіровоградський область,кіровог обл,кіровоградщина,кіровоградський
10,Київська область,київський область,київ обл,київщина,київський
11,Луганська область,луганськ область,луган обл,луганщина,луганськ
12,Львівська область,львівський область,львів обл,львівщина,львівський
13,Миколаївська область,миколаївський область,микол обл,миколаївщина,миколаївський
14,Одеська область,одеський область,одес обл,одещина,одеський
15,Полтавська область,полтавський область,полтав обл,полтавщина,полтавський
16,Рівненська область,рівненський область,рівн обл,рівненщина,рівненський
17,Сумська область,сумський область,сумс обл,сумщина,сумський
18,Тернопільська область,тернопільський область,терноп обл,тернопільщина,тернопільський
19,Вінницька область,вінницький область,вінн обл,вінниччина,вінницький
20,Волинська область,волинська область,волин обл,волинщина,волинська
21,Закарпатська область,закарпатський область,закарп обл,закарпаччина,закарпатський
22,Запорізька область,запорізький область,запор обл,запоріжчина,запорізький
23,Житомирська область,житомирський область,житом обл,житомирщина,житомирський
